timestamp,entry_idx,exit_idx,type,entry_price,stop_loss,take_profit,exit_price,hit_sl,hit_tp,profit_loss
42818,42818,208,BUY,0.90522,0.90231,0.9075992934175068,0.9075992934175068,False,True,0.002379293417506756
42819,42819,207,BUY,0.90516,0.902175,0.9076726163073774,0.9076726163073774,False,True,0.0025126163073774244
42854,42854,31,BUY,0.90556,0.90403,0.9064512862210968,0.9064512862210968,False,True,0.0008912862210967987
42855,42855,30,BUY,0.90531,0.903225,0.9065172247234256,0.9065172247234256,False,True,0.001207224723425604
42857,42857,28,BUY,0.90524,0.903155,0.9065555999167176,0.9065555999167176,False,True,0.0013155999167175914
42886,42886,144,SELL,0.90655,0.907975,0.9037,0.907975,True,False,-0.0014250000000000096
42887,42887,245,SELL,0.90666,0.9082049999999999,0.9035700000000001,0.9082049999999999,True,False,-0.0015449999999999076
42888,42888,466,SELL,0.90699,0.909,0.9029699999999999,0.9029699999999999,False,True,0.0040200000000000236
42911,42911,48,BUY,0.90549,0.90402,0.9065217521935035,0.9065217521935035,False,True,0.001031752193503488
42912,42912,47,BUY,0.90542,0.9040699999999999,0.9065219007158958,0.9065219007158958,False,True,0.001101900715895776
42913,42913,46,BUY,0.90519,0.903555,0.9065496683317159,0.9065496683317159,False,True,0.0013596683317158575
42916,42916,44,BUY,0.90489,0.903135,0.9065607433102498,0.9065607433102498,False,True,0.001670743310249856
42917,42917,42,BUY,0.90477,0.9027000000000001,0.9065462036022003,0.9065462036022003,False,True,0.0017762036022003214
42960,42960,73,SELL,0.90651,0.908085,0.90336,0.908085,True,False,-0.001574999999999993
42962,42962,171,SELL,0.90672,0.908325,0.9035099999999999,0.908325,True,False,-0.0016050000000000786
43000,43000,216,SELL,0.90734,0.9085550000000002,0.9049099999999998,0.9049099999999998,False,True,0.0024300000000002653
43013,43013,12,BUY,0.90638,0.9035,0.907476208299367,0.907476208299367,False,True,0.001096208299367074
43027,43027,327,SELL,0.90787,0.9102249999999998,0.9031600000000001,0.9031600000000001,False,True,0.004709999999999881
43050,43050,83,BUY,0.90729,0.9054000000000002,0.9082784491779584,0.9082784491779584,False,True,0.0009884491779583726
43051,43051,82,BUY,0.90711,0.9054599999999999,0.9083669327908539,0.9083669327908539,False,True,0.0012569327908539263
43052,43052,164,BUY,0.90678,0.9048,0.9084813784877255,0.9048,True,False,-0.0019799999999999818
43053,43053,163,BUY,0.90673,0.9046750000000001,0.9085542854092918,0.9046750000000001,True,False,-0.002054999999999918
