2025-03-23 16:42:27,064 - INFO - Trade Executed: {'entry_idx': 853, 'exit_idx': 10, 'type': 'BUY', 'entry_price': 0.89445, 'stop_loss': 0.8931449999999999, 'take_profit': 0.8953243795045143, 'exit_price': 0.8953243795045143, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0008743795045142999}
2025-03-23 16:42:27,108 - INFO - Trade Executed: {'entry_idx': 854, 'exit_idx': 9, 'type': 'BUY', 'entry_price': 0.89453, 'stop_loss': 0.8932850000000001, 'take_profit': 0.8953591445776228, 'exit_price': 0.8953591445776228, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0008291445776227313}
2025-03-23 16:42:27,147 - INFO - Trade Executed: {'entry_idx': 856, 'exit_idx': 7, 'type': 'BUY', 'entry_price': 0.8943, 'stop_loss': 0.8929199999999999, 'take_profit': 0.8954334911272295, 'exit_price': 0.8954334911272295, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0011334911272294912}
2025-03-23 16:42:27,184 - INFO - Trade Executed: {'entry_idx': 857, 'exit_idx': 6, 'type': 'BUY', 'entry_price': 0.89427, 'stop_loss': 0.89286, 'take_profit': 0.895454109976222, 'exit_price': 0.895454109976222, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0011841099762219809}
2025-03-23 16:42:27,224 - INFO - Trade Executed: {'entry_idx': 928, 'exit_idx': 68, 'type': 'BUY', 'entry_price': 0.89537, 'stop_loss': 0.8936000000000001, 'take_profit': 0.8964990523783967, 'exit_price': 0.8936000000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0017699999999999383}
2025-03-23 16:42:27,261 - INFO - Trade Executed: {'entry_idx': 929, 'exit_idx': 95, 'type': 'BUY', 'entry_price': 0.89508, 'stop_loss': 0.8928750000000001, 'take_profit': 0.8965930829294447, 'exit_price': 0.8928750000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0022049999999999015}
2025-03-23 16:42:27,298 - INFO - Trade Executed: {'entry_idx': 1004, 'exit_idx': 45, 'type': 'BUY', 'entry_price': 0.89336, 'stop_loss': 0.8910049999999999, 'take_profit': 0.8950206532122155, 'exit_price': 0.8910049999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002355000000000107}
2025-03-23 16:42:27,331 - INFO - Trade Executed: {'entry_idx': 1050, 'exit_idx': 8, 'type': 'BUY', 'entry_price': 0.89103, 'stop_loss': 0.88803, 'take_profit': 0.8947465938300396, 'exit_price': 0.8947465938300396, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0037165938300396384}
2025-03-23 16:42:27,363 - INFO - Trade Executed: {'entry_idx': 1051, 'exit_idx': 9, 'type': 'BUY', 'entry_price': 0.8908, 'stop_loss': 0.8878, 'take_profit': 0.8950659281402106, 'exit_price': 0.8950659281402106, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.00426592814021054}
2025-03-23 16:42:27,396 - INFO - Trade Executed: {'entry_idx': 1093, 'exit_idx': 94, 'type': 'BUY', 'entry_price': 0.89545, 'stop_loss': 0.892525, 'take_profit': 0.8977884773559943, 'exit_price': 0.8977884773559943, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0023384773559943506}
